audio_file,Reference_text,Predicted_text,CER,Average_CER
common_voice_mr_32127661.wav,चार चार विषय आहेत, चार चार विशय आहेट,0.16666666666666666,0.2306825835359131
common_voice_mr_32127660.wav,क्रोष्टु सहस्रजित् नल अंतिक व लघु अशी त्याच्या पुत्रांची नावे आढळतात," प्रोष्टू, सहस्त्रजीत, नलव, अंतिक वलगु अशी त्याचा पुत्रांची नावे आढ़लतात।",0.2328767123287671,0.2306825835359131
common_voice_mr_32126825.wav,त्यातील एर्देनि हे रत् नाचे व सुबाशिदि हे सुभाषिताचे मंगोलियन भाषारूप होय, क्यातिल एदेरनी हे रतनाचे व सुभाशिदी हे सुभाशिताचे मंगोलियन भाशारूप होई।,0.2054794520547945,0.2306825835359131
common_voice_mr_32126698.wav,आदरार्थी शब्दांनी केला जात असे लहानपणी गंगेजवळ असताना वसिष्ठांनी त्यांना सर्व वेद शिकविले होते, आदरार्थी शब्दानी केला जात असे लहान पणी गंगे जवल स्ताना वसी श्ठानी त्यानना सर्व वेच शिकविले होते,0.13541666666666666,0.2306825835359131
common_voice_mr_32121632.wav,खमंग वास येतोय, परमंग वासी यूथे,0.5,0.2306825835359131
common_voice_mr_32121623.wav,चारुता सागर दिनकर दत्तात्रेय भोसले, चारुता सागतिनकर दत्तात्रे बोसली,0.20588235294117646,0.2306825835359131
common_voice_mr_32023928.wav,ही फेलोशिप मिळवणारे ते पहिले भारतीय होत, यी फेलोशिप मिलोनारे ते पहिले भारतिया होत।,0.19047619047619047,0.2306825835359131
common_voice_mr_32022227.wav,तिचे सूत्रधार शंकरराव देव होते, तीचे सुत्रदार शंकरराव देव होते।,0.15625,0.2306825835359131
common_voice_mr_31931304.wav,चला आज फिरायला जाऊयात, चला आज फिराईला जाऊयात।,0.13043478260869565,0.2306825835359131
common_voice_mr_31928736.wav,मध्य भागातील पिवळ्या रंगावर वंदे मातरम् असे लिहिले, मध्य भागातिल प्यूल्या रंगावर वन्दे मात्रम असे लिहले,0.21153846153846154,0.2306825835359131
common_voice_mr_31917816.wav,थायलंडमध्ये रावणाचे शिल्प आढळते, थाईलेंड मदे रावनाचे शिल्प आधलते,0.3125,0.2306825835359131
common_voice_mr_31917739.wav,त्यानुसार कृषी विद्यापीठातील शिक्षणक्रम राबविले जातात, त्या नुसार कृषिव विद्यापितातील शिक्षन क्रम राभवले जातात।,0.19298245614035087,0.2306825835359131
common_voice_mr_31917535.wav,त्यांनी शून्य या अंकासठी ख या शब्दाचा वापर केला, त्यानी शुन्य या अंकन सटी ख या शब्दाचा वापर केला,0.125,0.2306825835359131
common_voice_mr_31912953.wav,रंजले गांजले दीन दुबळे अपंग अनाथ हेच त्यांचे देव, राजले गाँजले दीन दुबई अपंग अनात हिच देंसेदी,0.3125,0.2306825835359131
common_voice_mr_31901494.wav,याचे नाव गहिनीनाथ असे ठेव, याचे नाव गहिनिनात असे ठेव।,0.14814814814814814,0.2306825835359131
common_voice_mr_31894594.wav,येथे पुण्यश्लोक अहिल्यादेवी होळकर यांची मूर्ती आहे, ये थे पुर्ण्य श्लोक आहिल्या देवी होडकर यांची मूर्ती आहे,0.14285714285714285,0.2306825835359131
common_voice_mr_31913054.wav,राजस्थानच्या नावातच राजांची भूमी असा अर्थ आहे, राज्यस्थानाच्या नावातत् राज्याची भुमी असा अर्थल आहे।,0.22641509433962265,0.2306825835359131
common_voice_mr_31894499.wav,हे मूळचे चाळीसगावचे रहिवासी त्यांचे आडनाव देशपांडे होते, ये मूल्चे 40 गाउचे रहिवासी त्यांचे आडणाव देशपांडे होते।,0.21428571428571427,0.2306825835359131
common_voice_mr_31894498.wav,या मंदिरासमोर सहा टन वजनाची घंटा आहे, या मंधिरा समूर्व 6 टर्न वजनाची घंटा है।,0.325,0.2306825835359131
common_voice_mr_31894165.wav,हिंदू व हिंदुस्थान हे शब्द याच नदीवरुन पडले आहेत, हिंदुवा हिंदुस्तान हे शब्द यास नदी वरुन पढ़ल्या हे।,0.2692307692307692,0.2306825835359131
